Hardware,,,,,
,PART,UNIT COST,QUANTITY,TOTAL,LINK
,M3 M4 M5 Tap set,$4.13,1,$4.13,https://www.aliexpress.us/item/3256806605530720.html?spm=a2g0o.productlist.main.11.36c13a7dK0Ix9b&algo_pvid=1c4709c1-3f55-4089-a6b0-d25c7287bf4f&algo_exp_id=1c4709c1-3f55-4089-a6b0-d25c7287bf4f-10&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2121.01%217.82%21%21%21150.08%2155.88%21%402101c72a17485816866645924ea243%2112000038315940920%21sea%21US%213447209169%21X&curPageLogUid=eiAiMUVvnQgA&utparam-url=scene%3Asearch%7Cquery_from%3A
,13pc Titanium Plated Drillbit set 1.5-6.5mm,$4.09,1,$4.09,https://www.aliexpress.us/item/3256805773163987.html?
,,,,,
,Overall cost,,,,
Hardware,$200.31,,,,
Electronics,$237.17,,,,
Tools,$8.22,,,,
,,,,,
Sum,$445.70,,,,
Budget Used,127%,,,,
